Make,Model,Year,Body Size,Body Style,Cylinders,Engine Aspiration,Drivetrain,Transmission,Horsepower,Torque,MSRP,common_range,mid_high_range,luxury_range,extreme_range
Audi,Q7,2023,Large,SUV,V6,Turbocharged,AWD,automatic,335.0,369.0,68400.0,1,0,0,0
Audi,Q7,2024,Large,SUV,I4,Turbocharged,AWD,automatic,261.0,273.0,61400.0,1,0,0,0
Audi,Q7,2024,Large,SUV,V6,Turbocharged,AWD,automatic,335.0,369.0,69100.0,1,0,0,0
Audi,Q8,2023,Large,SUV,V6,Turbocharged,AWD,automatic,335.0,369.0,77300.0,1,0,0,0
Audi,Q8,2024,Large,SUV,V6,Turbocharged,AWD,automatic,335.0,369.0,77800.0,1,0,0,0
Audi,Q8 Sportback e-tron,2024,Midsize,SUV,V6,Electric Motor,AWD,automatic,402.0,480.0,82200.0,1,0,0,0
Audi,Q8 e-tron,2024,Midsize,SUV,V6,Electric Motor,AWD,automatic,402.0,480.0,81800.0,1,0,0,0
Audi,Q8 e-tron,2024,Midsize,SUV,V6,Electric Motor,AWD,automatic,402.0,498.4,74400.0,1,0,0,0
Audi,R8,2023,Compact,Convertible,V10,Naturally Aspirated,AWD,automatic,602.0,413.0,222100.0,0,0,1,0
Audi,R8,2023,Compact,Convertible,V10,Naturally Aspirated,RWD,automatic,562.0,406.0,171000.0,0,1,0,0
Audi,R8,2023,Compact,Coupe,V10,Naturally Aspirated,AWD,automatic,602.0,413.0,209700.0,0,0,1,0
Audi,R8,2023,Compact,Coupe,V10,Naturally Aspirated,RWD,automatic,562.0,406.0,158600.0,0,1,0,0
Audi,R8,2023,Compact,Coupe,V10,Naturally Aspirated,RWD,automatic,602.0,413.0,249900.0,0,0,1,0
Audi,RS 3,2023,Compact,Sedan,I5,Turbocharged,AWD,automatic,401.0,369.0,60900.0,1,0,0,0
Audi,RS 3,2024,Compact,Sedan,I5,Turbocharged,AWD,automatic,401.0,369.0,62300.0,1,0,0,0
Audi,RS 5,2023,Midsize,Coupe,V6,Twin-Turbo,AWD,automatic,444.0,442.0,77900.0,1,0,0,0
Audi,RS 5,2023,Midsize,Hatchback,V6,Twin-Turbo,AWD,automatic,444.0,442.0,78200.0,1,0,0,0
Audi,RS 5,2024,Midsize,Coupe,V6,Twin-Turbo,AWD,automatic,444.0,442.0,79600.0,1,0,0,0
Audi,RS 5,2024,Midsize,Hatchback,V6,Twin-Turbo,AWD,automatic,444.0,442.0,79900.0,1,0,0,0
Audi,RS 6,2023,Large,Wagon,V8,Twin-Turbo,AWD,automatic,591.0,590.0,121900.0,0,1,0,0
Audi,RS 6,2024,Large,Wagon,V8,Twin-Turbo,AWD,automatic,621.0,627.0,125800.0,0,1,0,0
Audi,RS 7,2023,Large,Sedan,V8,Twin-Turbo,AWD,automatic,591.0,590.0,123900.0,0,1,0,0
Audi,RS 7,2024,Large,Sedan,V8,Twin-Turbo,AWD,automatic,621.0,627.0,127800.0,0,1,0,0
Audi,RS Q8,2023,Large,SUV,V8,Twin-Turbo,AWD,automatic,591.0,590.0,125800.0,0,1,0,0
Audi,RS Q8,2024,Large,SUV,V8,Twin-Turbo,AWD,automatic,591.0,590.0,125800.0,0,1,0,0
Audi,RS e-tron GT,2023,Large,Sedan,V8,Electric Motor,AWD,automatic,637.0,612.0,143900.0,0,1,0,0
Audi,RS e-tron GT,2024,Large,Sedan,V8,Electric Motor,AWD,automatic,637.0,612.0,147100.0,0,1,0,0
Audi,S3,2023,Compact,Sedan,I4,Turbocharged,AWD,automatic,306.0,295.0,49500.0,1,0,0,0
Audi,S3,2024,Compact,Sedan,I4,Turbocharged,AWD,automatic,306.0,295.0,50300.0,1,0,0,0
Audi,S4,2023,Midsize,Sedan,V6,Turbocharged,AWD,automatic,349.0,369.0,56800.0,1,0,0,0
Audi,S4,2024,Midsize,Sedan,V6,Turbocharged,AWD,automatic,349.0,369.0,57500.0,1,0,0,0
Audi,S5,2023,Midsize,Convertible,V6,Turbocharged,AWD,automatic,349.0,369.0,68400.0,1,0,0,0
Audi,S5,2023,Midsize,Coupe,V6,Turbocharged,AWD,automatic,349.0,369.0,59800.0,1,0,0,0
Audi,S5,2023,Midsize,Hatchback,V6,Turbocharged,AWD,automatic,349.0,369.0,59800.0,1,0,0,0
Audi,S5,2024,Midsize,Convertible,V6,Turbocharged,AWD,automatic,349.0,369.0,69100.0,1,0,0,0
Audi,S5,2024,Midsize,Coupe,V6,Turbocharged,AWD,automatic,349.0,369.0,60500.0,1,0,0,0
Audi,S5,2024,Midsize,Hatchback,V6,Turbocharged,AWD,automatic,349.0,369.0,60500.0,1,0,0,0
Audi,S6,2023,Large,Sedan,V6,Twincharged,AWD,automatic,444.0,442.0,78400.0,1,0,0,0
Audi,S6,2024,Large,Sedan,V6,Twincharged,AWD,automatic,444.0,442.0,79800.0,1,0,0,0
Audi,S7,2023,Large,Sedan,V6,Twincharged,AWD,automatic,444.0,442.0,87700.0,1,0,0,0
Audi,S7,2024,Large,Sedan,V6,Twincharged,AWD,automatic,444.0,442.0,89100.0,1,0,0,0
Audi,S8,2023,Large,Sedan,V8,Twin-Turbo,AWD,automatic,563.0,590.0,120500.0,0,1,0,0
Audi,S8,2024,Large,Sedan,V8,Twin-Turbo,AWD,automatic,563.0,590.0,123400.0,0,1,0,0
Audi,SQ5,2023,Midsize,SUV,V6,Turbocharged,AWD,automatic,349.0,369.0,60900.0,1,0,0,0
Audi,SQ5,2024,Midsize,SUV,V6,Turbocharged,AWD,automatic,349.0,369.0,61700.0,1,0,0,0
Audi,SQ5 Sportback,2023,Midsize,SUV,V6,Turbocharged,AWD,automatic,349.0,369.0,63300.0,1,0,0,0
Audi,SQ5 Sportback,2024,Midsize,SUV,V6,Turbocharged,AWD,automatic,349.0,369.0,64100.0,1,0,0,0
Audi,SQ7,2023,Large,SUV,V8,Twin-Turbo,AWD,automatic,500.0,568.0,92550.0,1,0,0,0
Audi,SQ7,2024,Large,SUV,V8,Twin-Turbo,AWD,automatic,500.0,568.0,92650.0,1,0,0,0
Audi,SQ8,2023,Large,SUV,V8,Twin-Turbo,AWD,automatic,500.0,568.0,98500.0,1,0,0,0
Audi,SQ8,2024,Large,SUV,V8,Twin-Turbo,AWD,automatic,500.0,568.0,100100.0,1,0,0,0
Audi,SQ8 Sportback e-tron,2024,Midsize,SUV,V8,Electric Motor,AWD,automatic,496.0,718.0,95600.0,1,0,0,0
Audi,SQ8 e-tron,2024,Midsize,SUV,V8,Electric Motor,AWD,automatic,496.0,718.0,92800.0,1,0,0,0
Audi,TT,2023,Compact,Convertible,I4,Turbocharged,AWD,automatic,228.0,258.0,56300.0,1,0,0,0
Audi,TT,2023,Compact,Coupe,I4,Turbocharged,AWD,automatic,228.0,258.0,52200.0,1,0,0,0
Audi,TTS,2023,Compact,Coupe,I4,Turbocharged,AWD,automatic,288.0,280.0,61900.0,1,0,0,0
Audi,e-tron,2023,Midsize,SUV,V6,Electric Motor,AWD,automatic,402.0,490.0,77800.0,1,0,0,0
Audi,e-tron GT,2023,Large,Sedan,V6,Electric Motor,AWD,automatic,522.0,472.0,108100.0,0,1,0,0
Audi,e-tron GT,2024,Large,Sedan,V6,Electric Motor,AWD,automatic,522.0,472.0,110500.0,0,1,0,0
Audi,e-tron S,2023,Midsize,SUV,V8,Electric Motor,AWD,automatic,496.0,717.0,91750.0,1,0,0,0
Audi,e-tron S Sportback,2023,Midsize,SUV,V8,Electric Motor,AWD,automatic,496.0,717.0,94350.0,1,0,0,0
Audi,e-tron Sportback,2023,Midsize,SUV,V6,Electric Motor,AWD,automatic,402.0,490.0,81000.0,1,0,0,0
BMW,2 Series,2023,Compact,Coupe,I4,Turbocharged,AWD,automatic,255.0,295.0,40200.0,1,0,0,0
BMW,2 Series,2023,Compact,Coupe,I4,Turbocharged,RWD,automatic,255.0,295.0,38200.0,1,0,0,0
BMW,2 Series,2023,Compact,Coupe,I6,Turbocharged,AWD,automatic,382.0,369.0,50900.0,1,0,0,0
BMW,2 Series,2023,Compact,Coupe,I6,Turbocharged,RWD,automatic,382.0,369.0,48900.0,1,0,0,0
BMW,2 Series,2024,Compact,Coupe,I4,Turbocharged,AWD,automatic,255.0,295.0,40800.0,1,0,0,0
BMW,2 Series,2024,Compact,Coupe,I4,Turbocharged,RWD,automatic,255.0,295.0,38800.0,1,0,0,0
BMW,2 Series,2024,Compact,Coupe,I6,Turbocharged,AWD,automatic,382.0,369.0,51700.0,1,0,0,0
BMW,2 Series,2024,Compact,Coupe,I6,Turbocharged,RWD,automatic,382.0,369.0,49700.0,1,0,0,0
BMW,2 Series Gran Coupe,2023,Compact,Sedan,I4,Turbocharged,AWD,automatic,228.0,258.0,38600.0,1,0,0,0
BMW,2 Series Gran Coupe,2023,Compact,Sedan,I4,Turbocharged,AWD,automatic,302.0,331.0,46400.0,1,0,0,0
BMW,2 Series Gran Coupe,2023,Compact,Sedan,I4,Turbocharged,FWD,automatic,228.0,258.0,36600.0,1,0,0,0
BMW,2 Series Gran Coupe,2024,Compact,Sedan,I4,Turbocharged,AWD,automatic,228.0,258.0,40400.0,1,0,0,0
BMW,2 Series Gran Coupe,2024,Compact,Sedan,I4,Turbocharged,AWD,automatic,302.0,332.0,48300.0,1,0,0,0
BMW,2 Series Gran Coupe,2024,Compact,Sedan,I4,Turbocharged,FWD,automatic,228.0,258.0,38400.0,1,0,0,0
BMW,3 Series,2023,Midsize,Sedan,I4,Turbocharged,AWD,automatic,255.0,295.0,45800.0,1,0,0,0
BMW,3 Series,2023,Midsize,Sedan,I4,Turbocharged,AWD,automatic,288.0,310.0,46900.0,1,0,0,0
BMW,3 Series,2023,Midsize,Sedan,I4,Turbocharged,RWD,automatic,255.0,295.0,43800.0,1,0,0,0
BMW,3 Series,2023,Midsize,Sedan,I4,Turbocharged,RWD,automatic,288.0,310.0,44900.0,1,0,0,0
BMW,3 Series,2023,Midsize,Sedan,I6,Turbocharged,AWD,automatic,382.0,368.0,58400.0,1,0,0,0
BMW,3 Series,2023,Midsize,Sedan,I6,Turbocharged,RWD,automatic,382.0,368.0,56400.0,1,0,0,0
BMW,3 Series,2024,Midsize,Sedan,I4,Turbocharged,AWD,automatic,255.0,295.0,46500.0,1,0,0,0
BMW,3 Series,2024,Midsize,Sedan,I4,Turbocharged,AWD,automatic,288.0,310.0,47600.0,1,0,0,0
BMW,3 Series,2024,Midsize,Sedan,I4,Turbocharged,RWD,automatic,255.0,295.0,44500.0,1,0,0,0
BMW,3 Series,2024,Midsize,Sedan,I4,Turbocharged,RWD,automatic,288.0,310.0,45600.0,1,0,0,0
BMW,3 Series,2024,Midsize,Sedan,I6,Turbocharged,AWD,automatic,382.0,369.0,59600.0,1,0,0,0
BMW,3 Series,2024,Midsize,Sedan,I6,Turbocharged,RWD,automatic,382.0,369.0,57600.0,1,0,0,0
BMW,4 Series,2023,Midsize,Convertible,I4,Turbocharged,AWD,automatic,255.0,295.0,57500.0,1,0,0,0
BMW,4 Series,2023,Midsize,Convertible,I4,Turbocharged,RWD,automatic,255.0,295.0,55500.0,1,0,0,0
BMW,4 Series,2023,Midsize,Convertible,I6,Turbocharged,AWD,automatic,382.0,369.0,68250.0,1,0,0,0
BMW,4 Series,2023,Midsize,Convertible,I6,Turbocharged,RWD,automatic,382.0,369.0,66250.0,1,0,0,0
BMW,4 Series,2023,Midsize,Coupe,I4,Turbocharged,AWD,automatic,255.0,295.0,49400.0,1,0,0,0
BMW,4 Series,2023,Midsize,Coupe,I4,Turbocharged,RWD,automatic,255.0,295.0,47400.0,1,0,0,0
BMW,4 Series,2023,Midsize,Coupe,I6,Turbocharged,AWD,automatic,382.0,369.0,60250.0,1,0,0,0
BMW,4 Series,2023,Midsize,Coupe,I6,Turbocharged,RWD,automatic,382.0,369.0,58250.0,1,0,0,0
BMW,4 Series,2024,Midsize,Convertible,I4,Turbocharged,AWD,automatic,255.0,295.0,60100.0,1,0,0,0
BMW,4 Series,2024,Midsize,Convertible,I4,Turbocharged,RWD,automatic,255.0,295.0,58100.0,1,0,0,0
BMW,4 Series,2024,Midsize,Convertible,I6,Turbocharged,AWD,automatic,382.0,369.0,71550.0,1,0,0,0
BMW,4 Series,2024,Midsize,Convertible,I6,Turbocharged,RWD,automatic,382.0,369.0,69550.0,1,0,0,0
BMW,4 Series,2024,Midsize,Coupe,I4,Turbocharged,AWD,automatic,255.0,295.0,51900.0,1,0,0,0
BMW,4 Series,2024,Midsize,Coupe,I4,Turbocharged,RWD,automatic,255.0,295.0,49900.0,1,0,0,0
BMW,4 Series,2024,Midsize,Coupe,I6,Turbocharged,AWD,automatic,382.0,369.0,63450.0,1,0,0,0
BMW,4 Series,2024,Midsize,Coupe,I6,Turbocharged,RWD,automatic,382.0,369.0,61450.0,1,0,0,0
BMW,4 Series Gran Coupe,2023,Midsize,Sedan,I4,Turbocharged,AWD,automatic,255.0,294.0,47900.0,1,0,0,0
BMW,4 Series Gran Coupe,2023,Midsize,Sedan,I4,Turbocharged,RWD,automatic,255.0,294.0,45900.0,1,0,0,0
BMW,4 Series Gran Coupe,2023,Midsize,Sedan,I6,Turbocharged,AWD,automatic,382.0,369.0,59450.0,1,0,0,0
BMW,4 Series Gran Coupe,2023,Midsize,Sedan,I6,Turbocharged,RWD,automatic,382.0,369.0,57450.0,1,0,0,0
BMW,4 Series Gran Coupe,2024,Midsize,Sedan,I4,Turbocharged,AWD,automatic,255.0,295.0,50300.0,1,0,0,0
BMW,4 Series Gran Coupe,2024,Midsize,Sedan,I4,Turbocharged,RWD,automatic,255.0,295.0,48300.0,1,0,0,0
BMW,4 Series Gran Coupe,2024,Midsize,Sedan,I6,Turbocharged,AWD,automatic,382.0,369.0,63050.0,1,0,0,0
BMW,4 Series Gran Coupe,2024,Midsize,Sedan,I6,Turbocharged,RWD,automatic,382.0,369.0,61050.0,1,0,0,0
BMW,5 Series,2023,Large,Sedan,I4,Turbocharged,AWD,automatic,248.0,257.0,57100.0,1,0,0,0
BMW,5 Series,2023,Large,Sedan,I4,Turbocharged,AWD,automatic,288.0,310.0,58700.0,1,0,0,0
BMW,5 Series,2023,Large,Sedan,I4,Turbocharged,RWD,automatic,248.0,257.0,54800.0,1,0,0,0
BMW,5 Series,2023,Large,Sedan,I4,Turbocharged,RWD,automatic,288.0,310.0,56400.0,1,0,0,0
BMW,5 Series,2023,Large,Sedan,I6,Turbocharged,AWD,automatic,335.0,331.0,63900.0,1,0,0,0
BMW,5 Series,2023,Large,Sedan,I6,Turbocharged,RWD,automatic,335.0,331.0,61600.0,1,0,0,0
BMW,5 Series,2023,Large,Sedan,V8,Twin-Turbo,AWD,automatic,523.0,553.0,79900.0,1,0,0,0
BMW,5 Series,2024,Large,Sedan,I4,Turbocharged,AWD,automatic,255.0,295.0,60200.0,1,0,0,0
BMW,5 Series,2024,Large,Sedan,I4,Turbocharged,RWD,automatic,255.0,295.0,57900.0,1,0,0,0
BMW,5 Series,2024,Large,Sedan,I6,Turbocharged,AWD,automatic,375.0,391.91,64900.0,1,0,0,0
BMW,7 Series,2023,Large,Sedan,I6,Turbocharged,RWD,automatic,375.0,383.0,93300.0,1,0,0,0
BMW,7 Series,2023,Large,Sedan,V8,Twin-Turbo,AWD,automatic,536.0,553.0,113600.0,0,1,0,0
BMW,7 Series,2024,Large,Sedan,I6,Turbocharged,AWD,automatic,375.0,398.0,99400.0,1,0,0,0
BMW,7 Series,2024,Large,Sedan,I6,Turbocharged,AWD,automatic,483.0,479.0,107000.0,0,1,0,0
BMW,7 Series,2024,Large,Sedan,I6,Turbocharged,RWD,automatic,375.0,398.0,96400.0,1,0,0,0
BMW,7 Series,2024,Large,Sedan,V8,Twin-Turbo,AWD,automatic,536.0,553.0,121300.0,0,1,0,0
BMW,8 Series,2023,Midsize,Convertible,I6,Turbocharged,AWD,automatic,335.0,368.0,100000.0,1,0,0,0
BMW,8 Series,2023,Midsize,Convertible,I6,Turbocharged,RWD,automatic,335.0,368.0,97100.0,1,0,0,0
BMW,8 Series,2023,Midsize,Convertible,V8,Twin-Turbo,AWD,automatic,523.0,553.0,112100.0,0,1,0,0
BMW,8 Series,2023,Midsize,Coupe,I6,Turbocharged,AWD,automatic,335.0,368.0,90400.0,1,0,0,0
BMW,8 Series,2023,Midsize,Coupe,I6,Turbocharged,RWD,automatic,335.0,368.0,87500.0,1,0,0,0
BMW,8 Series,2023,Midsize,Coupe,V8,Twin-Turbo,AWD,automatic,523.0,553.0,102500.0,1,0,0,0
BMW,8 Series,2024,Midsize,Convertible,I6,Turbocharged,AWD,automatic,335.0,369.0,103500.0,0,1,0,0
BMW,8 Series,2024,Midsize,Convertible,I6,Turbocharged,RWD,automatic,335.0,369.0,100500.0,1,0,0,0
BMW,8 Series,2024,Midsize,Convertible,V8,Twin-Turbo,AWD,automatic,523.0,553.0,116000.0,0,1,0,0
BMW,8 Series,2024,Midsize,Coupe,I6,Turbocharged,AWD,automatic,335.0,369.0,93800.0,1,0,0,0
BMW,8 Series,2024,Midsize,Coupe,I6,Turbocharged,RWD,automatic,335.0,369.0,90800.0,1,0,0,0
BMW,8 Series,2024,Midsize,Coupe,V8,Twin-Turbo,AWD,automatic,523.0,553.0,106300.0,0,1,0,0
BMW,8 Series Gran Coupe,2023,Large,Sedan,I6,Turbocharged,AWD,automatic,335.0,368.0,90400.0,1,0,0,0
BMW,8 Series Gran Coupe,2023,Large,Sedan,I6,Turbocharged,RWD,automatic,335.0,368.0,87500.0,1,0,0,0
BMW,8 Series Gran Coupe,2023,Large,Sedan,V8,Twin-Turbo,AWD,automatic,523.0,553.0,102500.0,1,0,0,0
BMW,8 Series Gran Coupe,2024,Large,Sedan,I6,Turbocharged,AWD,automatic,335.0,369.0,93800.0,1,0,0,0
BMW,8 Series Gran Coupe,2024,Large,Sedan,I6,Turbocharged,RWD,automatic,335.0,369.0,90800.0,1,0,0,0
BMW,8 Series Gran Coupe,2024,Large,Sedan,V8,Twin-Turbo,AWD,automatic,523.0,553.0,106300.0,0,1,0,0
BMW,ALPINA B8 Gran Coupe,2023,Large,Sedan,V8,Twin-Turbo,AWD,automatic,612.0,590.0,144900.0,0,1,0,0
BMW,ALPINA B8 Gran Coupe,2024,Large,Sedan,V8,Twin-Turbo,AWD,automatic,612.0,590.0,149300.0,0,1,0,0
BMW,ALPINA XB7,2023,Large,SUV,V8,Twin-Turbo,AWD,automatic,630.0,590.0,145000.0,0,1,0,0
BMW,ALPINA XB7,2024,Large,SUV,V8,Twin-Turbo,AWD,automatic,630.0,590.0,149400.0,0,1,0,0
BMW,M2,2023,Compact,Coupe,I6,Twin-Turbo,RWD,manual,453.0,406.0,62200.0,1,0,0,0
BMW,M2,2024,Compact,Coupe,I6,Twin-Turbo,RWD,manual,453.0,406.0,63200.0,1,0,0,0
BMW,M3,2023,Midsize,Sedan,I6,Twin-Turbo,AWD,automatic,503.0,479.0,80800.0,1,0,0,0
BMW,M3,2023,Midsize,Sedan,I6,Twin-Turbo,RWD,automatic,503.0,479.0,76700.0,1,0,0,0
BMW,M3,2023,Midsize,Sedan,I6,Twin-Turbo,RWD,manual,473.0,406.0,72800.0,1,0,0,0
BMW,M3,2024,Midsize,Sedan,I6,Twin-Turbo,AWD,automatic,503.0,479.0,84300.0,1,0,0,0
BMW,M3,2024,Midsize,Sedan,I6,Twin-Turbo,RWD,automatic,503.0,479.0,80200.0,1,0,0,0
BMW,M3,2024,Midsize,Sedan,I6,Twin-Turbo,RWD,manual,473.0,406.0,76000.0,1,0,0,0
BMW,M3 CS,2024,Midsize,Sedan,I6,Twin-Turbo,AWD,automatic,543.0,479.0,118700.0,0,1,0,0
BMW,M4,2023,Midsize,Convertible,I6,Twin-Turbo,AWD,automatic,503.0,479.0,89700.0,1,0,0,0
BMW,M4,2023,Midsize,Coupe,I6,Twin-Turbo,AWD,automatic,503.0,479.0,82700.0,1,0,0,0
